campaign,campaign_status,category,content,Country,country_shortname,coupon_code,date,id,influencer_name,latest year,max_coupon_data_refresh_date,max_coupon_reporting_date,max_influencer_data_refresh_date,medium,medium_modified,medium_type,medium_type_modified,month,month of order date,previous year,project_management,quality,region,reporting_shared,Select Year,size,size_modified ,Top 20 Inlfuencer names,Top Influencers with zero costs,#Posts,#Voucher,AOV,campaign_transaction_revenue,ce_posts,CPI,CPM,CPO,CPR,CPU,CR,dq_indicator_yes_all,dq_indicator_yes_central_europe,dq_indicator_yes_north_europe,dq_indicator_yes_south_europe,Engagement,Engagement Rate,Follower,Low Engagement rate High Cost,ne_posts,Net Reach,New User,no_campaign_item_revenue,no_campaign_net_revenue,no_influencer_campaign_item_revenue,no_influencer_campaign_net_revenue,no_influencer_campaign_transaction_revenue,NR Target,NR UTM,NR Voucher,NR/1000 Views,Orders,se_posts,"Select Metric by CPM,CPR & CPI",Select Metric by NR_User_Net Reach,sessions,Total Costs,Total NR,User,User / View
l-de-n-yt-passporttwo_2103,done,lifestyle,,Germany,DE,,13/3/2021,DE20213_76,passporttwo,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,youtube,youtube,yt_video,yt_video,1/3/2021,1/3/2021 0:00,1/1/2020 0:00,Jessi,,Central Europe,,All,Mikro,Mikro,,FALSE,1,,"38,00","133,65",0,"0,44","43,41","215,35","5,67","11,33","2,68%",,,,,1469,"9,87%",11800,FALSE,0,14883,47,,,,,,"516,83 €","113,99 €",,8,3,0,"43,407,915,071",57,112,"646,04 €","113,99 €",57,"0,00"
l-de-n-ig-mrsbella_2103,done,beauty,new_flavour,Germany,DE,,12/3/2021,DE20213_22,mrsbella,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram ,instagram,ig_story ,ig_story ,1/3/2021,1/3/2021 0:00,1/1/2020 0:00,Maria,,Central Europe,y,All,Mega,Mega,,FALSE,1,,"40,37","4832,38",0,"2,62","66,35","102,16","2,53","3,40","3,19%",1,0,0,0,3970,"2,53%",2000000,TRUE,0,157037,2765,,,,,,"0,00 €","4.117,87 €",,26,102,0,"66,353,789,234",3068,3198,"10.420,00 €","4.117,87 €",3068,"0,02"
l-de-n-ig-familiem-2103,done,family,new_flavour,Germany,DE,FAMILIE-M,12/3/2021,DE20213_13,familie.m,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/3/2021,1/3/2021 0:00,1/1/2020 0:00,Maria,,Central Europe,y,All,Midlevel,Midlevel,,FALSE,1,1,"56,57","2223,18",0,"0,52","17,69","5,94","0,11","0,66","10,55%",1,0,0,0,618,"3,41%",33958,FALSE,0,18140,326,,"1027,15",,"105,8","113,14","641,87 €","1.921,64 €","1.132,95 €",168,54,0,"17,692,171,996",486,512,"320,94 €","3.054,59 €",486,"0,03"
l-de-n-ig-the.franklin_21032,done,sports,new_flavour,Germany,DE,,10/3/2021,DE20213_74,the.franklin,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/3/2021,1/3/2021 0:00,1/1/2020 0:00,Jessi,,Central Europe,y,All,Midlevel,Midlevel,,FALSE,1,,"29,87","104,27",0,"0,55","24,07","69,47","2,33","1,34","1,84%",1,0,0,0,378,"4,37%",52000,FALSE,0,8659,142,,,,,,"277,87 €","89,62 €",,10,3,0,"24,067,444,278",155,163,"208,40 €","89,62 €",155,"0,02"
l-de-n-ig-isabeau-newflavour-2103,done,family,new_flavour,Germany,DE,,9/3/2021,DE20213_11,isabeau_youtube,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/3/2021,1/3/2021 0:00,1/1/2020 0:00,Maria,wrong_or_missing_link,Central Europe,y,All,Makro,Makro,,FALSE,1,,"33,92","307,92",0,"1,05","21,05","390,75","11,52","7,37","1,83%",1,0,0,0,2974,"2,00%",524000,FALSE,0,148525,321,,,,,,"4.168,00 €","271,33 €",,2,8,0,"21,046,961,791",424,437,"3.126,00 €","271,33 €",424,"0,00"
l-de-n-ig-annamariadamm_2103,done,sports,new_flavour,Germany,DE,ANNAMARIA,9/3/2021,DE20213_152,annamariadamm,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/3/2021,1/3/2021 0:00,1/1/2020 0:00,Jessi,all_good,Central Europe,y,All,Mega,Mega,,FALSE,1,1,"102,28","22690,92",0,"0,42","11,62","10,31","0,10","0,58","5,42%",1,0,0,0,13704,"2,78%",1600000,FALSE,0,493129,7732,,"31059,44",,"6094,58","7205,76","11.462,00 €","19.715,64 €","37.154,02 €",115,556,0,"11,621,705,477",9908,10252,"5.731,00 €","56.869,66 €",9908,"0,02"
l-de-n-ig-marcocerullo_official_2103,done,entertainment,unboxing,Germany,DE,,8/3/2021,DE20213_58,marcocerullo_official,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/3/2021,1/3/2021 0:00,1/1/2020 0:00,Jessi,,Central Europe,y,All,Makro,Makro,,FALSE,1,,"45,62","262,77",0,"3,59","90,82","455,00","9,97","5,16","1,11%",1,0,0,0,634,"2,53%",166000,FALSE,0,25049,402,,,,,,"3.033,33 €","228,09 €",,9,5,0,"90,821,988,902",441,450,"2.275,00 €","228,09 €",441,"0,02"
l-de-n-ig-djurbano-2103,done,music,unboxing,Germany,DE,,8/3/2021,DE20213_166,dj_urban_o,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/3/2021,1/3/2021 0:00,1/1/2020 0:00,Maria,,Central Europe,y,All,Mikro,Mikro,,FALSE,1,,"38,65","43,9",0,"0,10","21,87","26,05","0,67","0,37","1,10%",1,0,0,0,255,"21,41%",13700,FALSE,0,1191,61,,,,,,"34,73 €","38,65 €",,32,1,0,"21,872,376,154",70,91,"26,05 €","38,65 €",70,"0,06"
l-de-n-ig-instadadpapazwuck-newflavour-2103,done,family,new_flavour,Austria,AT,ZWUCKIS,7/3/2021,AT20213_21,instadad.papazwuck,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,instagram,instagram,ig_story,ig_story,1/3/2021,1/3/2021 0:00,1/1/2020 0:00,Maria,,Central Europe,y,All,Midlevel,Midlevel,,FALSE,1,1,"233,36","19592,16",0,"0,14","7,25","2,65","0,01","0,24","7,91%",1,0,0,0,8420,"5,08%",78600,FALSE,0,165616,3092,,"67846,08",,"20885,8","23901,26","2.400,00 €","16.746,00 €","88.731,88 €",637,452,0,"7,245,676,746",5052,5712,"1.200,00 €","105.477,88 €",5052,"0,03"
l-de-n-tk-sontvn_2103,done,entertainment,,Germany,DE,,6/3/2021,DE20213_53,sontvn,1/1/2021,30/3/2021 0:16,30/3/2021,30/3/2021 7:08,tiktok,tiktok,tk_video,tk_video,1/3/2021,1/3/2021 0:00,1/1/2020 0:00,Jessi,,Central Europe,,All,Mega,Mega,sontvn,FALSE,1,,"45,49","533,25",0,"0,02","7,02","110,00","2,42","0,40","0,34%",,,,,44156,"28,18%",2400000,FALSE,0,156700,2677,,,,,,"0,00 €","454,88 €",,3,10,0,"7,019,783,025",2756,2941,"1.100,00 €","454,88 €",2756,"0,02"
